family_id	family_label	product_id	product_label	image_id	image_path
83997	EasyVEC®	2211	EasyVEC® Standard	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-STD\EasyVEC-Standard-4000_Produit_002.eps
83997	EasyVEC®	2209	EasyVEC® Micro-watt	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-MW-Plus\EasyVEC-MWPlus-4000_Produit_001.eps
83997	EasyVEC®	2209	EasyVEC® Micro-watt	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-MW-Plus\EasyVEC-MWPlus-4000_Produit_002.eps
83997	EasyVEC®	2210	EasyVEC® Micro-watt +	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-MW-Plus\EasyVEC-MWPlus-4000_Produit_001.eps
83997	EasyVEC®	2210	EasyVEC® Micro-watt +	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-MW-Plus\EasyVEC-MWPlus-4000_Produit_002.eps
1939	Tourelles et ventilateurs de conduit	2010	TAHA® 	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\01-Ventilateurs_SF\Tava-Taha\Taha_Produit_001.eps
1939	Tourelles et ventilateurs de conduit	2011	TAHA® MICRO-WATT	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\01-Ventilateurs_SF\Tava-Taha\Taha-MW_Produit_001.eps
1939	Tourelles et ventilateurs de conduit	2012	TAVA® 	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\01-Ventilateurs_SF\Tava-Taha\Tava_Produit_001.eps
1939	Tourelles et ventilateurs de conduit	2013	TAVA® MICRO-WATT	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\01-Ventilateurs_SF\Tava-Taha\Tava-MW_Produit_001.eps
1939	Tourelles et ventilateurs de conduit	2024	VC	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\01-Ventilateurs_SF\VC\VC_Produit_001.eps
1939	Tourelles et ventilateurs de conduit	2024	VC	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\01-Ventilateurs_SF\VC\VC-315_Produit_001.eps
1939	Tourelles et ventilateurs de conduit	2025	VC MICRO-WATT	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\01-Ventilateurs_SF\VC\VC_Produit_001.eps
1939	Tourelles et ventilateurs de conduit	2025	VC MICRO-WATT	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\01-Ventilateurs_SF\VC\VC-315_Produit_001.eps
1939	Tourelles et ventilateurs de conduit	2238	HELICA	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\01-Ventilateurs_SF\Helica\Helica_Produit_001.eps
1921	Ventilation double flux par logement	2249	InspirAIR® Side Classic	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\01-Purification_Air_Centralisee\InspirAIR-Home\InspirAIR-Classic_Produit_002.eps
1921	Ventilation double flux par logement	7136	InspirAIR® Side Premium	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\01-Purification_Air_Centralisee\InspirAIR-Home\InspirAIR-Premium_Produit_001.eps
1921	Ventilation double flux par logement	2250	InspirAIR® Top Classic	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\01-Purification_Air_Centralisee\InspirAIR-Top\InspirAIR-Top-Classic_Produit_001.eps
1921	Ventilation double flux par logement	2250	InspirAIR® Top Classic	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\01-Purification_Air_Centralisee\InspirAIR-Top\InspirAIR-Top-Premium_Mecanisme_001.eps
1921	Ventilation double flux par logement	7149	InspirAIR® Top Premium	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\01-Purification_Air_Centralisee\InspirAIR-Top\InspirAIR-Top-Premium_Produit_001.eps
1921	Ventilation double flux par logement	7149	InspirAIR® Top Premium	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\01-Purification_Air_Centralisee\InspirAIR-Top\InspirAIR-Top-Premium_Produit_007.eps
1921	Ventilation double flux par logement	2184	Dee Fly Modulo®	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\01-Purification_Air_Centralisee\DeeFly-Modulo\DeeFly-Modulo-ByPass_Produit_001.eps
1921	Ventilation double flux par logement	2213	Echangeur Statique Collectif	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\01-Purification_Air_Centralisee\DeeFly-Modulo\DeeFly-Modulo-Echangeur_Produit_001.eps
1921	Ventilation double flux par logement	63840	Dee Fly Cube®	132	Catalogue_Aldes\02-Produits_Filiales\01-Produits\ES-DeeFly-Cube-150_Produit_001.eps
1921	Ventilation double flux par logement	85095	InspirAIR® Top 300 FR 	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\01-Purification_Air_Centralisee\InspirAIR-Top\InspirAIR-Top-Classic_Produit_001.eps
1917	Ventilation double flux pièce par pièce	7134	Nano Air® 50	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\03-Ventilation_Double_Flux_Piece\Nano-Air-50\Nano-Air-50_Produit_001.eps
1917	Ventilation double flux pièce par pièce	2302	Nano Air®² Classic	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\04-Ventilation_Double_Flux_Individuelle_Purification_Air\03-Ventilation_Double_Flux_Piece\Nano-Air-2\Nano-Air-2_Produit_001.eps
2065	CTA compactes	2190	DFE® Micro-Watt	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\DFE\DFE-MW_Produit_001.eps
2065	CTA compactes	2190	DFE® Micro-Watt	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\DFE\DFE-Telecommande_Produit_001.eps
2065	CTA compactes	2189	DFE® Compact Micro-watt	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\DFE\DFE-Compact-MW_Produit_001.eps
2065	CTA compactes	2189	DFE® Compact Micro-watt	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\DFE\DFE-Telecommande_Produit_001.eps
2065	CTA compactes	2191	DFE® Top Micro-watt	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\DFE-Top\DFE-Top-450_Produit_001.eps
2065	CTA compactes	2191	DFE® Top Micro-watt	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\DFE\DFE-Telecommande_Produit_001.eps
2065	CTA compactes	2036	VEX200	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\03-Enchangeurs_Rotatifs\VEX200\VEX270_Produit_001.eps
2065	CTA compactes	2036	VEX200	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\03-Enchangeurs_Rotatifs\VEX200\VEX200_Produit_002.eps
2065	CTA compactes	2037	VEX300C	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX300C\VEX300C_Produit_001.eps
2065	CTA compactes	2038	VEX300T	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX300T\VEX320T_Produit_001.eps
2065	CTA compactes	2038	VEX300T	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX300T\VEX300T_Produit_001.eps
2065	CTA compactes	2039	VEX308	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX308\VEX308C_Produit_001.eps
2065	CTA compactes	2039	VEX308	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX308\VEX308_Produit_001.eps
2065	CTA compactes	2040	VEX400	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX400\VEX400_Produit_001.eps
2065	CTA compactes	2040	VEX400	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX400\VEX400_Mecanisme_001.eps
2065	CTA compactes	2042	VEX500	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX500-Everest-XH\VEX500\VEX500_Produit_001.eps
2065	CTA compactes	2043	VEX500-C4	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX500-C4-Everest-XH-C4\VEX500-C4\VEX500-C4_Produit_001.eps
2065	CTA compactes	2045	VEX600	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\VEX600-Everest-XV\VEX600\VEX600_Produit_001.eps
2065	CTA compactes	2046	VEX700T	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\03-Enchangeurs_Rotatifs\VEX700T\VEX700_Produit_001.eps
2098	CTA modulaires	2041	VEX4000	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\04-Centrales_Modulaires\VEX4000\VEX4000_Produit_001.eps
2098	CTA modulaires	11143	VEX5000	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\04-Centrales_Modulaires\VEX5000\VEX5000_Produit_001.eps
2055	Batteries externes	2123	Batteries externes en caisson	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\DFE-Plus\Batterie-DFE-Plus_Produit_001.eps
2055	Batteries externes	2123	Batteries externes en caisson	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\07-Centrales_Traitement_Air\01-Echangeurs_Contre_Flux\DFE-Plus\Batterie-DFE-Plus_Produit_002.eps
