family_id	family_label	product_id	carac_id	carac_label	value
7499	Volets OPTONE®	2314	71	Description produit	Les volets de désenfumages OPTONE "+Grille" 2 vantaux sont destinés aux bâtiments tertiaires (ERP, IGH) et peuvent être utilisés en amenée d'air comme en extraction de fumées. Ils sont motorisables. Les volets OPTONE "+Grille" 2V incluent une grille ce qui permet d'économiser la phase d'installation de la grille séparée. Le déclencheur électromagnétique est inclu et disponible en émission/rupture et 24/48 V.
7499	Volets OPTONE®	2314	101	Plus produit	> simplicité : Cotes nominales = cotes d’encastrement, ##NewLine##> contre-cadre réversible haut/bas, ##NewLine##> 1 seul contre-cadre pour tous les modèles OPTONE. ##NewLine##
7499	Volets OPTONE®	2310	83	Gamme	OPTONE 
7499	Volets OPTONE®	2310	93	Nom du produit	OPTONE® "Classic" 1V
7499	Volets OPTONE®	2310	71	Description produit	Les volets de désenfumage OPTONE "Classic" 1V sont destinés aux bâtiments teritaires (ERP, IGH) et peuvent être utilisés en amenée d'air comme en extraction de fumées. Ils sont motorisables. Les volets OPTONE "Classic" 1V sont compatibles avec les grilles ALDES GFA Acier, GFA 007, GFE et GGH et toute grille avec une transparence géométrique supérieure à 44%. Le déclencheur électromagnétique est inclu et disponible en émission/rupture et 24/48 V.
7499	Volets OPTONE®	2310	101	Plus produit	> simplicité : Cotes nominales = cotes d’encastrement, ##NewLine##> contre-cadre réversible haut/bas, ##NewLine##> 1 seul contre-cadre pour tous les modèles OPTONE. ##NewLine##
7499	Volets OPTONE®	2311	83	Gamme	OPTONE 
7499	Volets OPTONE®	2311	93	Nom du produit	OPTONE® "Classic" 2V
7499	Volets OPTONE®	2311	71	Description produit	Les volets de désenfumage OPTONE "Classic" 2V sont destinés aux bâtiments teritaires (ERP, IGH) et peuvent être utilisés en amenée d'air comme en extraction de fumées. Ils sont motorisables. Les volets OPTONE "Classic" 2V sont compatibles avec les grilles ALDES GFA Acier, GFA 007, GFE et GGH et toute grille avec une transparence géométrique supérieure à 44%. Le déclencheur électromagnétique est inclu et disponible en émission/rupture et 24/48 V.
7499	Volets OPTONE®	2311	101	Plus produit	> simplicité : Cotes nominales = cotes d’encastrement, ##NewLine##> contre-cadre réversible haut/bas, ##NewLine##> 1 seul contre-cadre pour tous les modèles OPTONE. ##NewLine##
7500	Grilles désenfumage	2232	83	Gamme	GFAP
7500	Grilles désenfumage	2232	93	Nom du produit	GFAP 007
7500	Grilles désenfumage	2232	71	Description produit	La grille GFAP 007 est en tout point identique à la grille GFA 007, seules les cotes nominales diffèrent. Le choix des dimensions est fonction de la réservation à couvrir (aucun lien avec les X, Y d’un volet Aldes). La GFAP 007 se fixe directement à la paroi à l’aide des entretoises fournies, sans contre-cadre. ##NewLine##Elle présente un noyau amovible verrouillé par l’astucieux clip 007 qui permet également de suspendre le noyau d’ailettes pour faciliter le réarmement du volet de désenfumage.##NewLine##La grille GFAP 007 est particulièrement adaptée aux ouvrants OXYTONE et AIRONE. 
7500	Grilles désenfumage	2232	101	Plus produit	> esthétique identique à la GFA 007,##NewLine##> noyau amovible verrouillé par ¼ de tour, ##NewLine##> noyau suspendu par clip 007.
7500	Grilles désenfumage	2231	83	Gamme	GFAP 
7500	Grilles désenfumage	2231	93	Nom du produit	GFAP
7500	Grilles désenfumage	2231	71	Description produit	La grille GFAP est en tout point identique à la grille GFA Alu, seules les cotes nominales diffèrent. Le choix des dimensions est fonction de la réservation à couvrir (aucun lien avec les X, Y d'un volet Aldes). Cette grille esthétique permet de cacher toute réservation ou tout volet en venant se fixer en applique de la paroi.
7500	Grilles désenfumage	2231	101	Plus produit	> esthétique identique à la GFA Alu, ##NewLine##> plusieurs fixations possibles, vis, clips ou charnières, ##NewLine##> profil d'ailette esthétique et aéraulique.
7500	Grilles désenfumage	2233	83	Gamme	GFE
7500	Grilles désenfumage	2233	93	Nom du produit	GFE - Cadre Apparent
7500	Grilles désenfumage	2233	71	Description produit	La grille GFE - Cadre Apparent est à encastrer directement dans la paroi, devant le volet de désenfumage. Le cadre apparent offre une esthétique discrète dans le prolongement de la paroi, tout en couvrant la réservation.
7500	Grilles désenfumage	2233	101	Plus produit	> esthétique discrète dans le prolongement de la paroi,##NewLine##> peintures RAL disponibles,##NewLine##> protection robuste du volet de désenfumage.
7500	Grilles désenfumage	2234	83	Gamme	GFE
7500	Grilles désenfumage	2234	93	Nom du produit	GFE 007 - Cadre Apparent
7500	Grilles désenfumage	2234	71	Description produit	La grille GFE 007 - Cadre Apparent est à encastrer directement dans la paroi, devant le volet de désenfumage. La cadre apparent offre une esthétique discrète dans le prolongement de la paroi, tout en couvrant la réservation. La grille GFE 007 présente un noyau amovible verrouillé par l’astucieux clip 007 qui permet également de suspendre le noyau d’ailettes pour faciliter le réarmement du volet de désenfumage.
7500	Grilles désenfumage	2234	101	Plus produit	> nouveau noyau amovible par clip 007 pour H ≤ 1 000 mm, ##NewLine##> esthétique discrète dans le prolongement de la paroi,##NewLine##> peintures RAL disponibles (hors clip 007).
7500	Grilles désenfumage	2236	83	Gamme	GFE 
7500	Grilles désenfumage	2236	93	Nom du produit	GFE - Liseré
7500	Grilles désenfumage	2236	71	Description produit	La grille GFE - Liseré est à encastrer directement dans la paroi, devant le volet de désenfumage. Son cadre non apparent offre une esthétique élégante et discrète, seul un fin liseré est visible en face avant. Cette grille arrasante possède un noyau d'ailettes fixe qui vient protéger le volet en couvrant la réservation.
7500	Grilles désenfumage	2236	101	Plus produit	> esthétique discrète dans le prolongement de la paroi, ##NewLine##> existe en « grande hauteur » (du sol au plafond), ##NewLine##> peintures RAL disponibles.
7500	Grilles désenfumage	2235	83	Gamme	GFE 
7500	Grilles désenfumage	2235	93	Nom du produit	GFE 007 - Liseré
7500	Grilles désenfumage	2235	71	Description produit	La grille GFE 007 - Liseré est à encastrer directement dans la paroi, devant le volet de désenfumage. Son cadre non apparent offre une esthétique élégante et discrète, seul un fin liseré est visible en face avant. La grille GFE 007 présente un noyau amovible verrouillé par l’astucieux clip 007 qui permet également de suspendre le noyau d’ailettes pour faciliter le réarmement du volet de désenfumage.##NewLine##
7500	Grilles désenfumage	2235	101	Plus produit	> nouveau : noyau amovible par clip 007 pour H < 1 300 mm,##NewLine##> esthétique discrète dans le prolongement de la paroi,##NewLine##> existe en « grande hauteur » (du sol au plafond).
7500	Grilles désenfumage	2237	83	Gamme	GGH
7500	Grilles désenfumage	2237	93	Nom du produit	GGH
7500	Grilles désenfumage	2237	71	Description produit	La grille GGH se positionne devant un volet VB d'amenée d'air ou un volet VH d'évacuation de fumées. Elle permet de recouvrir un volet du sol au plafond. Son noyau d'1 m est démontable en partie basse pour un volet VB et en partie haute pour un volet VH. Le cadre est un cadre liseré non apparent pour offrir au couloir une fluidité visuelle hors du commun. La grille GGH est à encastrer directement dans la paroi.
7500	Grilles désenfumage	2237	101	Plus produit	> offre au couloir une superbe esthétique grâce à l’alternance de grilles allant du sol au plafond,##NewLine##> esthétique identique pour VB et VH,##NewLine##> maintenance aisée grâce au noyau amovible d’ 1 m.
7501	Volets tunnel et transferts	2339	83	Gamme	PLAFONE
7501	Volets tunnel et transferts	2339	93	Nom du produit	PLAFONE
7501	Volets tunnel et transferts	2339	71	Description produit	Le volet PLAFONE est un volet tunnel de désenfumage coupe-feu destiné aux bâtiments de type ERP, IGH ou habitat 3e et 4e famille. Il est adapté à une mise en oeuvre en faux plafond. Il dispose du mécanisme évolutif d'ISONE.
7501	Volets tunnel et transferts	2339	101	Plus produit	> débit de fuite minimisé,##NewLine##> validé en montage déporté et en montage horizontal,##NewLine##>mécanisme évolutif ISONE.
7501	Volets tunnel et transferts	2226	83	Gamme	Volet de transfert GDF
7501	Volets tunnel et transferts	2226	93	Nom du produit	GDF Volet de transfert E60 
7501	Volets tunnel et transferts	2226	71	Description produit	Le volet GDF est un volet de transfert E60 (1h) normalement ouvert. Il permet le transfert d'air entre un couloir et un sas en solution B des Immeubles de Grande Hauteur (IGH). Le déclenchement se fait uniquement par fusible thermique 70°C. Le volet GDF peut être monté en applique : GDF 1/A et GDF 2/A, ou encastré : GDF 1/E. Le modèle encastré est particulièrement pratique pour les installations exigues.
7501	Volets tunnel et transferts	2226	101	Plus produit	> Modèle encastré, idéal pour montages exigus##NewLine##> multiples combinaisons d’installations suivant les grilles esthétiques souhaitées,##NewLine##> adapté au IGH,##NewLine##> différentes options et accessoires disponibles.
7502	Amenées d'air	2317	83	Gamme	OXYTONE
7502	Amenées d'air	2317	93	Nom du produit	OXYTONE Panneau 2012
7502	Amenées d'air	2317	71	Description produit	OXYTONE Panneau 2012 est un ouvrant télécommandé, abattant à l'extérieur, pour une application d'amenée d'air en désenfumage. Il est disponible de la dimension 420 x 420 à 1600 x 1200 par pas de 100 mm en standard. Le panneau central peut être de différente nature : en tôle pleine, en double vitrage isolé.
7502	Amenées d'air	2317	101	Plus produit	> ouvrant d’amenée d’air thermique,##NewLine##> nouveau : mécanisme invisible, intégré dans les profils,##NewLine##> peinture RAL au choix. 
7502	Amenées d'air	2316	83	Gamme	OXYTONE
7502	Amenées d'air	2316	93	Nom du produit	OXYTONE Lames 2013
